Team,Opponent,Date,Result,Possession%
Turkiye,USA,2026-06-26,win,42
USA,Turkiye,2026-06-26,lose,48
Paraguay,Australia,2026-06-26,draw,42
Australia,Paraguay,2026-06-26,draw,46
Germany,Curacao,2026-06-15,win,57
Curacao,Germany,2026-06-15,lose,35
Cote d'Ivoire,Ecuador,2026-06-15,win,41
Ecuador,Cote d'Ivoire,2026-06-15,lose,49
Germany,Cote d'Ivoire,2026-06-21,win,49
Cote d'Ivoire,Germany,2026-06-21,lose,41
Ecuador,Curacao,2026-06-21,draw,65
Curacao,Ecuador,2026-06-21,draw,23
Curacao,Cote d'Ivoire,2026-06-26,lose,37
Cote d'Ivoire,Curacao,2026-06-26,win,55
Ecuador,Germany,2026-06-26,win,39
Germany,Ecuador,2026-06-26,lose,51
Netherlands,Japan,2026-06-15,draw,54
Japan,Netherlands,2026-06-15,draw,37
Sweden,Tunisia,2026-06-15,win,47
Tunisia,Sweden,2026-06-15,lose,42
Netherlands,Sweden,2026-06-21,win,48
Sweden,Netherlands,2026-06-21,lose,43
Tunisia,Japan,2026-06-21,lose,36
Japan,Tunisia,2026-06-21,win,55
Japan,Sweden,2026-06-26,draw,44
Sweden,Japan,2026-06-26,draw,44
Tunisia,Netherlands,2026-06-26,lose,27
Netherlands,Tunisia,2026-06-26,win,64
Belgium,Egypt,2026-06-16,draw,52
Egypt,Belgium,2026-06-16,draw,38
IR Iran,New Zealand,2026-06-16,draw,43
New Zealand,IR Iran,2026-06-16,draw,45
Belgium,IR Iran,2026-06-22,draw,59
IR Iran,Belgium,2026-06-22,draw,30
New Zealand,Egypt,2026-06-22,lose,39
Egypt,New Zealand,2026-06-22,win,50
Egypt,IR Iran,2026-06-27,draw,53
IR Iran,Egypt,2026-06-27,draw,36
New Zealand,Belgium,2026-06-27,lose,40
Belgium,New Zealand,2026-06-27,win,50
Spain,Cabo Verde,2026-06-16,draw,65
Cabo Verde,Spain,2026-06-16,draw,25
Saudi Arabia,Uruguay,2026-06-16,draw,27
Uruguay,Saudi Arabia,2026-06-16,draw,63
Spain,Saudi Arabia,2026-06-22,win,63
Saudi Arabia,Spain,2026-06-22,lose,29
Uruguay,Cabo Verde,2026-06-22,draw,54
Cabo Verde,Uruguay,2026-06-22,draw,33
Cabo Verde,Saudi Arabia,2026-06-27,draw,47
Saudi Arabia,Cabo Verde,2026-06-27,draw,41
Uruguay,Spain,2026-06-27,lose,33
Spain,Uruguay,2026-06-27,win,57
France,Senegal,2026-06-17,win,49
Senegal,France,2026-06-17,lose,44
Iraq,Norway,2026-06-17,lose,34
Norway,Iraq,2026-06-17,win,57
France,Iraq,2026-06-23,win,49
Iraq,France,2026-06-23,lose,44
Norway,Senegal,2026-06-23,win,40
Senegal,Norway,2026-06-23,lose,51
Norway,France,2026-06-27,lose,40
France,Norway,2026-06-27,win,51
Senegal,Iraq,2026-06-27,win,58
Iraq,Senegal,2026-06-27,lose,30
Argentina,Algeria,2026-06-17,win,44
Algeria,Argentina,2026-06-17,lose,50
Austria,Jordan,2026-06-17,win,53
Jordan,Austria,2026-06-17,lose,33
Argentina,Austria,2026-06-23,win,48
Austria,Argentina,2026-06-23,lose,43
Jordan,Algeria,2026-06-23,lose,27
Algeria,Jordan,2026-06-23,win,62
Algeria,Austria,2026-06-28,draw,60
Austria,Algeria,2026-06-28,draw,33
Jordan,Argentina,2026-06-28,lose,27
Argentina,Jordan,2026-06-28,win,67
Portugal,Congo DR,2026-06-18,draw,68
Congo DR,Portugal,2026-06-18,draw,25
Uzbekistan,Colombia,2026-06-18,lose,33
Colombia,Uzbekistan,2026-06-18,win,56
Portugal,Uzbekistan,2026-06-24,win,56
Uzbekistan,Portugal,2026-06-24,lose,34
Colombia,Congo DR,2026-06-24,win,58
Congo DR,Colombia,2026-06-24,lose,32
Colombia,Portugal,2026-06-28,draw,51
Portugal,Colombia,2026-06-28,draw,41
Congo DR,Uzbekistan,2026-06-28,win,53
Uzbekistan,Congo DR,2026-06-28,lose,36
England,Croatia,2026-06-18,win,48
Croatia,England,2026-06-18,lose,43
Ghana,Panama,2026-06-18,win,35
Panama,Ghana,2026-06-18,lose,55
England,Ghana,2026-06-24,draw,72
Ghana,England,2026-06-24,draw,20
Panama,Croatia,2026-06-24,lose,37
Croatia,Panama,2026-06-24,win,52
Panama,England,2026-06-28,lose,33
England,Panama,2026-06-28,win,57
Croatia,Ghana,2026-06-28,win,50
Ghana,Croatia,2026-06-28,lose,43
Germany,Paraguay,2026-06-30,draw,65
Paraguay,Germany,2026-06-30,draw,23
Brazil,Japan,2026-06-30,win,61
Japan,Brazil,2026-06-30,lose,30
France,Sweden,2026-07-01,win,53
Sweden,France,2026-07-01,lose,38
Cote d'Ivoire,Norway,2026-07-01,lose,41
Norway,Cote d'Ivoire,2026-07-01,win,50
South Africa,Canada,2026-06-29,lose,55
Canada,South Africa,2026-06-29,win,35
Mexico,Ecuador,2026-07-01,win,37
Ecuador,Mexico,2026-07-01,lose,52
Netherlands,Morocco,2026-06-30,draw,31
Morocco,Netherlands,2026-06-30,draw,61
England,Congo DR,2026-07-02,win,53
Congo DR,England,2026-07-02,lose,37
Portugal,Croatia,2026-07-03,win,55
Croatia,Portugal,2026-07-03,lose,37
Argentina,Cabo Verde,2026-07-04,win,59
Cabo Verde,Argentina,2026-07-04,lose,34
Spain,Austria,2026-07-03,win,59
Austria,Spain,2026-07-03,lose,33
Australia,Egypt,2026-07-04,draw,35
Egypt,Australia,2026-07-04,draw,53
USA,Bosnia and Herzegovina,2026-07-02,win,43
Bosnia and Herzegovina,USA,2026-07-02,lose,47
Switzerland,Algeria,2026-07-03,win,40
Algeria,Switzerland,2026-07-03,lose,51
Belgium,Senegal,2026-07-02,win,48
Senegal,Belgium,2026-07-02,lose,42
Colombia,Ghana,2026-07-04,win,54
Ghana,Colombia,2026-07-04,lose,38
Paraguay,France,2026-07-05,lose,22
France,Paraguay,2026-07-05,win,66
Canada,Morocco,2026-07-05,lose,37
Morocco,Canada,2026-07-05,win,50
Portugal,Spain,2026-07-07,lose,41
Spain,Portugal,2026-07-07,win,50
USA,Belgium,2026-07-07,lose,51
Belgium,USA,2026-07-07,win,40
Brazil,Norway,2026-07-06,lose,32
Norway,Brazil,2026-07-06,win,60
Mexico,England,2026-07-06,lose,59
England,Mexico,2026-07-06,win,31
Argentina,Egypt,2026-07-08,win,57
Egypt,Argentina,2026-07-08,lose,34
Switzerland,Colombia,2026-07-08,draw,48
Colombia,Switzerland,2026-07-08,draw,44
Norway,England,2026-07-12,lose,44
England,Norway,2026-07-12,win,47
Argentina,Switzerland,2026-07-12,win,54
Switzerland,Argentina,2026-07-12,lose,37
France,Morocco,2026-07-10,win,46
Morocco,France,2026-07-10,lose,46
Spain,Belgium,2026-07-11,win,61
Belgium,Spain,2026-07-11,lose,30
France,Spain,2026-07-15,lose,46
Spain,France,2026-07-15,win,45
England,Argentina,2026-07-16,lose,35
Argentina,England,2026-06-16,win,56
France,England,2026-07-19,lose,41
England,France,2026-07-19,win,51
Spain,Argentina,2026-07-20,win,60
Argentina,Spain,2026-07-20,lose,32
